,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
93,94,5.0,2.3,3.3,1.0,Iris-versicolor
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
127,128,6.1,3.0,4.9,1.8,Iris-virginica
124,125,6.7,3.3,5.7,2.1,Iris-virginica
66,67,5.6,3.0,4.5,1.5,Iris-versicolor
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
0,1,5.1,3.5,1.4,0.2,Iris-setosa
44,45,5.1,3.8,1.9,0.4,Iris-setosa
39,40,5.1,3.4,1.5,0.2,Iris-setosa
134,135,6.1,2.6,5.6,1.4,Iris-virginica
105,106,7.6,3.0,6.6,2.1,Iris-virginica
61,62,5.9,3.0,4.2,1.5,Iris-versicolor
110,111,6.5,3.2,5.1,2.0,Iris-virginica
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
49,50,5.0,3.3,1.4,0.2,Iris-setosa
56,57,6.3,3.3,4.7,1.6,Iris-versicolor
48,49,5.3,3.7,1.5,0.2,Iris-setosa
31,32,5.4,3.4,1.5,0.4,Iris-setosa
76,77,6.8,2.8,4.8,1.4,Iris-versicolor
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
47,48,4.6,3.2,1.4,0.2,Iris-setosa
101,102,5.8,2.7,5.1,1.9,Iris-virginica
106,107,4.9,2.5,4.5,1.7,Iris-virginica
37,38,4.9,3.1,1.5,0.1,Iris-setosa
40,41,5.0,3.5,1.3,0.3,Iris-setosa
133,134,6.3,2.8,5.1,1.5,Iris-virginica
86,87,6.7,3.1,4.7,1.5,Iris-versicolor
103,104,6.3,2.9,5.6,1.8,Iris-virginica
114,115,5.8,2.8,5.1,2.4,Iris-virginica
117,118,7.7,3.8,6.7,2.2,Iris-virginica
69,70,5.6,2.5,3.9,1.1,Iris-versicolor
17,18,5.1,3.5,1.4,0.3,Iris-setosa
19,20,5.1,3.8,1.5,0.3,Iris-setosa
97,98,6.2,2.9,4.3,1.3,Iris-versicolor
87,88,6.3,2.3,4.4,1.3,Iris-versicolor
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
99,100,5.7,2.8,4.1,1.3,Iris-versicolor
46,47,5.1,3.8,1.6,0.2,Iris-setosa
15,16,5.7,4.4,1.5,0.4,Iris-setosa
81,82,5.5,2.4,3.7,1.0,Iris-versicolor
95,96,5.7,3.0,4.2,1.2,Iris-versicolor
28,29,5.2,3.4,1.4,0.2,Iris-setosa
2,3,4.7,3.2,1.3,0.2,Iris-setosa
4,5,5.0,3.6,1.4,0.2,Iris-setosa
11,12,4.8,3.4,1.6,0.2,Iris-setosa
88,89,5.6,3.0,4.1,1.3,Iris-versicolor
123,124,6.3,2.7,4.9,1.8,Iris-virginica
116,117,6.5,3.0,5.5,1.8,Iris-virginica
12,13,4.8,3.0,1.4,0.1,Iris-setosa
98,99,5.1,2.5,3.0,1.1,Iris-versicolor
38,39,4.4,3.0,1.3,0.2,Iris-setosa
58,59,6.6,2.9,4.6,1.3,Iris-versicolor
27,28,5.2,3.5,1.5,0.2,Iris-setosa
130,131,7.4,2.8,6.1,1.9,Iris-virginica
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
50,51,7.0,3.2,4.7,1.4,Iris-versicolor
42,43,4.4,3.2,1.3,0.2,Iris-setosa
148,149,6.2,3.4,5.4,2.3,Iris-virginica
23,24,5.1,3.3,1.7,0.5,Iris-setosa
64,65,5.6,2.9,3.6,1.3,Iris-versicolor
67,68,5.8,2.7,4.1,1.0,Iris-versicolor
92,93,5.8,2.6,4.0,1.2,Iris-versicolor
131,132,7.9,3.8,6.4,2.0,Iris-virginica
141,142,6.9,3.1,5.1,2.3,Iris-virginica
145,146,6.7,3.0,5.2,2.3,Iris-virginica
135,136,7.7,3.0,6.1,2.3,Iris-virginica
143,144,6.8,3.2,5.9,2.3,Iris-virginica
74,75,6.4,2.9,4.3,1.3,Iris-versicolor
129,130,7.2,3.0,5.8,1.6,Iris-virginica
32,33,5.2,4.1,1.5,0.1,Iris-setosa
100,101,6.3,3.3,6.0,2.5,Iris-virginica
29,30,4.7,3.2,1.6,0.2,Iris-setosa
18,19,5.7,3.8,1.7,0.3,Iris-setosa
54,55,6.5,2.8,4.6,1.5,Iris-versicolor
104,105,6.5,3.0,5.8,2.2,Iris-virginica
109,110,7.2,3.6,6.1,2.5,Iris-virginica
